hour,datetime,total_predicted_demand,top_zone,top_zone_demand
0,2026-01-25 00:00:00,2385.471435546875,132.0,438.5538635253906
1,2026-01-25 01:00:00,2395.71142578125,132.0,458.4481201171875
2,2026-01-25 02:00:00,2245.274658203125,132.0,459.84747314453125
3,2026-01-25 03:00:00,2241.207763671875,132.0,459.457763671875
4,2026-01-25 04:00:00,2285.313720703125,132.0,459.457763671875
5,2026-01-25 05:00:00,2501.131103515625,132.0,459.457763671875
6,2026-01-25 06:00:00,3059.8740234375,132.0,465.88037109375
7,2026-01-25 07:00:00,3247.506103515625,132.0,462.3265686035156
8,2026-01-25 08:00:00,3288.8984375,132.0,463.8993225097656
9,2026-01-25 09:00:00,3333.7314453125,132.0,464.54144287109375
10,2026-01-25 10:00:00,3171.51025390625,132.0,467.36651611328125
11,2026-01-25 11:00:00,3156.80224609375,132.0,465.73175048828125
12,2026-01-25 12:00:00,3146.406005859375,132.0,468.9613342285156
13,2026-01-25 13:00:00,3120.2861328125,132.0,475.904296875
14,2026-01-25 14:00:00,3104.160888671875,132.0,484.5354919433594
15,2026-01-25 15:00:00,3026.056884765625,132.0,479.1193542480469
16,2026-01-25 16:00:00,3009.364990234375,132.0,481.3776550292969
17,2026-01-25 17:00:00,2927.955810546875,132.0,472.1366882324219
18,2026-01-25 18:00:00,2699.795654296875,132.0,467.6484069824219
19,2026-01-25 19:00:00,2525.87109375,132.0,464.8106384277344
20,2026-01-25 20:00:00,2553.963134765625,132.0,487.16571044921875
21,2026-01-25 21:00:00,2621.382568359375,132.0,497.9792175292969
22,2026-01-25 22:00:00,2250.3556623067707,132.0,495.4106140136719
23,2026-01-25 23:00:00,2130.3539911899716,138.0,435.0643005371094
