PULocationID,predicted_demand
132,467.6484
138,368.97687
186,149.76
142,77.89013
68,75.63703
249,71.33925
162,70.584724
230,69.70017
161,68.36915
239,61.839268
163,59.64635
48,55.53729
234,53.01742
79,51.31851
114,50.371296
237,47.092503
100,46.86564
107,40.802143
113,34.089188
144,32.58041
170,31.429228
263,29.761189
148,28.735458
164,28.351894
246,27.42648
90,26.391623
229,23.772715
141,23.58216
236,22.877037
43,22.686684
231,22.34503
158,18.643768
211,18.323885
137,15.851879
238,15.729593
140,15.4903
166,15.467531
70,14.324094
125,12.081563
151,10.659662
143,10.0599985
233,9.945561
87,9.730314
13,9.100769
261,7.181976
262,6.963265
50,5.691801
88,5.1322174
24,5.0203595
264,4.5028286
45,4.1604395
74,3.9079387
42,3.6511083
209,3.555708
41,3.5448072
75,3.3805897
80,2.824415
145,2.8017998
244,2.7942705
35,2.551275
61,2.5510578
232,2.3811615
177,2.2822483
39,2.2003767
66,2.1984696
226,2.018519
165,1.9371473
197,1.9101139
225,1.9086984
25,1.8917809
55,1.8595847
129,1.852743
33,1.8270557
89,1.8109419
216,1.8039491
116,1.8032972
51,1.8021027
17,1.7996696
235,1.7811235
65,1.7616292
60,1.7454027
126,1.7422596
167,1.7419027
77,1.7124237
146,1.7114896
37,1.7023436
223,1.6988295
47,1.6912466
198,1.6896449
32,1.6811635
139,1.6811635
227,1.681042
95,1.681042
212,1.6665726
49,1.6553649
26,1.645311
247,1.6301277
92,1.626839
29,1.6074555
85,1.5976778
93,1.5950748
62,1.5947472
127,1.5889835
82,1.5887982
71,1.5825448
178,1.5765105
53,1.5765105
213,1.57264
207,1.571196
20,1.571196
22,1.5710106
72,1.5703262
217,1.5703262
208,1.5703262
257,1.5703262
255,1.5702322
250,1.5672493
40,1.5614183
228,1.5580386
183,1.5580386
189,1.5580386
83,1.5525386
94,1.5525386
173,1.5525386
171,1.5525386
169,1.5525386
201,1.5525386
124,1.5525386
220,1.5525386
147,1.5525386
98,1.5525386
203,1.5525386
222,1.5444314
130,1.5418141
7,1.5268614
10,1.5152475
160,1.4858385
76,1.4728032
56,1.4618666
260,1.4581537
188,1.4484823
243,1.4402206
123,1.4294213
11,1.4294213
78,1.4293022
117,1.4257249
194,1.4089293
196,1.4069538
254,1.3988787
152,1.3948386
121,1.3935056
122,1.3935056
157,1.3780206
4,1.3727772
182,1.3579243
210,1.3515037
241,1.3455706
134,1.3390771
12,1.3294808
16,1.3212895
119,1.3212895
191,1.313602
205,1.307827
63,1.3046162
218,1.2988071
185,1.2981956
102,1.2981228
153,1.2981228
135,1.2981228
131,1.2981228
69,1.2841874
108,1.2803352
136,1.2803352
67,1.2803352
200,1.2803352
19,1.2803352
242,1.2803352
91,1.2780814
219,1.2752446
168,1.2752446
38,1.2632866
86,1.2629737
174,1.2602938
159,1.2567726
150,1.227027
202,1.227027
195,1.227027
3,1.2236611
215,1.1993674
28,1.1896632
81,1.1661006
259,1.154827
180,1.1490182
14,1.0579227
224,1.0236309
179,0.96294963
155,0.9003213
18,0.88878876
97,0.79439604
265,0.690729
181,0.60106665
258,0.58437085
149,0.5108258
52,0.50477356
256,0.4735176
248,0.40236637
106,0.40109658
112,0.40109658
133,0.40041214
36,0.40041214
21,0.3826246
193,0.3826246
