PULocationID,predicted_demand
132,463.89932
138,334.53256
186,139.26117
142,104.39116
161,92.566956
68,87.99317
230,87.49317
239,83.96042
249,80.1032
162,78.06307
48,76.27472
114,75.51393
79,73.70009
163,73.54169
234,73.269394
100,60.292984
237,58.94331
107,55.354332
164,53.78175
113,47.75551
263,46.409725
144,46.127808
170,45.151165
148,43.765327
246,41.08875
90,39.165966
236,35.20837
229,34.08185
141,33.76477
43,31.3377
231,29.722263
211,26.276272
158,26.041523
137,23.015966
140,22.291842
238,22.252357
166,19.92854
233,18.196909
70,17.873833
151,17.63767
125,16.694788
143,16.497732
13,14.319205
87,14.240378
262,11.55782
50,10.064012
261,9.533603
88,7.8663483
45,7.307627
264,7.2328587
24,7.0725474
42,6.5556054
74,6.3408794
209,5.821442
41,5.63136
75,5.5377707
244,4.4942317
232,4.2199955
35,4.0121384
61,3.945984
145,3.840362
226,3.6575387
80,3.6206725
39,3.364264
177,3.3194814
17,2.8976185
225,2.8321197
89,2.7844636
66,2.6982594
49,2.6211221
25,2.5679376
60,2.5416594
197,2.5255551
55,2.475026
65,2.4726703
255,2.4700506
165,2.4369373
7,2.4266798
69,2.4093337
129,2.4022455
146,2.3955836
116,2.3527997
157,2.3263264
85,2.308719
216,2.3037388
51,2.3018925
235,2.280913
40,2.2724595
77,2.2619264
33,2.260907
126,2.2420495
194,2.220747
222,2.2205882
223,2.1986191
71,2.1979861
14,2.1936133
47,2.1910365
32,2.1809535
139,2.1809535
227,2.1808317
95,2.1808317
167,2.1757536
37,2.1361947
198,2.1234958
260,2.115606
155,2.1066284
212,2.1004233
93,2.0948641
123,2.0868738
11,2.0868738
26,2.079162
247,2.0639787
92,2.06069
152,2.0527422
4,2.0416853
130,2.0416036
29,2.041306
224,2.037389
62,2.028598
127,2.022834
82,2.0226488
76,2.0223055
178,2.0103614
53,2.0103614
213,2.0064907
207,2.0050464
20,2.0050464
22,2.004861
217,2.0041766
208,2.0041766
257,2.0041766
72,2.0041766
250,2.0011
228,1.9918892
189,1.9918892
183,1.9918892
243,1.9897225
203,1.986389
98,1.986389
124,1.986389
201,1.986389
169,1.986389
94,1.986389
83,1.986389
147,1.986389
171,1.986389
173,1.986389
220,1.986389
196,1.956456
10,1.9490978
117,1.9255143
160,1.9196889
254,1.8986684
56,1.895717
122,1.8932952
121,1.8932952
78,1.8631529
241,1.8453602
134,1.8388666
180,1.8339447
16,1.8210791
119,1.8210791
188,1.818621
86,1.8124753
182,1.7917751
210,1.7853543
12,1.7633313
191,1.7474526
205,1.7416776
63,1.7384671
218,1.7326578
185,1.7320462
102,1.7319735
153,1.7319735
135,1.7319735
131,1.7319735
67,1.7141858
136,1.7141858
242,1.7141858
19,1.7141858
200,1.7141858
108,1.7141858
91,1.7119321
168,1.7090954
219,1.7090954
38,1.6971372
174,1.6941446
159,1.6906234
195,1.6608778
202,1.6608778
150,1.6608778
3,1.6575118
215,1.6332182
28,1.6235138
81,1.5999514
259,1.5886778
97,1.4523
18,1.4310422
179,1.3907492
265,1.105695
52,1.0967389
181,1.0773803
258,1.0162888
256,0.94983137
106,0.8774103
112,0.8774103
133,0.87672585
36,0.87672585
149,0.85985404
193,0.85893834
21,0.85893834
248,0.7513943
